DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,QU_SEQNUM,NATBBO_IND,QU_CANCEL,QU_SOURCE,SYM_ROOT,SYM_SUFFIX
20190102,10:00:00.062308244,Z,155.18,2,155.21,2,R,4084110,2,,N,AAPL,
20190102,10:00:00.062406153,Z,155.18,1,155.21,2,R,4084111,0,,N,AAPL,
20190102,10:00:00.062524432,Q,155.17,5,155.21,9,R,4084114,2,,N,AAPL,
20190102,10:00:00.062525872,K,155.17,4,155.21,7,R,4084115,0,,N,AAPL,
20190102,10:00:00.062557050,Q,155.17,5,155.21,10,R,4084117,2,,N,AAPL,
20190102,10:00:00.062559566,Q,155.17,5,155.21,11,R,4084118,2,,N,AAPL,
20190102,10:00:00.062604592,X,155.17,2,155.21,6,R,4084119,0,,N,AAPL,
20190102,10:00:00.062626254,Z,155.18,1,155.21,4,R,4084120,0,,N,AAPL,
20190102,10:00:00.062833615,Z,155.17,3,155.21,4,R,4084122,0,,N,AAPL,
20190102,10:00:00.062893085,C,146.88,1,155.21,1,R,4084123,0,,N,AAPL,
20190102,10:00:00.062938238,Y,155.15,1,155.23,1,R,4084124,0,,N,AAPL,
20190102,10:00:00.063023241,P,155.17,5,155.21,4,R,4084126,0,,N,AAPL,
20190102,10:00:00.063033293,V,155.14,2,155.21,1,R,4084127,0,,N,AAPL,
20190102,10:00:00.064227884,C,146.88,1,162.67,1,R,4084263,0,,N,AAPL,
20190102,10:00:00.064237846,C,146.88,1,155.22,1,R,4084265,0,,N,AAPL,
20190102,10:00:00.064417332,V,155.14,2,155.22,1,R,4084291,0,,N,AAPL,
20190102,10:00:00.077565103,Q,155.17,5,155.21,12,R,4084409,2,,N,AAPL,
20190102,10:00:00.077639186,Z,155.17,3,155.21,5,R,4084410,0,,N,AAPL,
20190102,10:00:00.077668433,K,155.17,4,155.21,8,R,4084411,0,,N,AAPL,
20190102,10:00:00.077955989,P,155.17,5,155.21,5,R,4084414,0,,N,AAPL,
