DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,QU_SEQNUM,NATBBO_IND,QU_CANCEL,QU_SOURCE,SYM_ROOT,SYM_SUFFIX
20190102,10:00:00.077932022,Y,293.03,1,309.0,1,R,6215440,0,,N,TSLA,
20190102,10:00:00.078043277,Y,303.75,1,309.0,1,R,6215443,0,,N,TSLA,
20190102,10:00:00.078144663,Z,303.79,1,304.17,1,R,6215445,2,,N,TSLA,
20190102,10:00:00.078269542,K,303.57,1,304.54,1,R,6215446,0,,N,TSLA,
20190102,10:00:00.078381509,K,303.58,1,304.54,1,R,6215448,0,,N,TSLA,
20190102,10:00:00.078489005,V,303.75,1,304.07,1,R,6215450,0,,N,TSLA,
20190102,10:00:00.078490481,K,303.59,1,304.54,1,R,6215451,0,,N,TSLA,
20190102,10:00:00.078521017,C,303.79,1,319.18,1,R,6215453,0,,N,TSLA,
20190102,10:00:00.078525136,K,303.59,1,304.54,1,R,6215454,0,,N,TSLA,
20190102,10:00:00.078595937,P,303.75,2,304.23,1,R,6215455,0,,N,TSLA,
20190102,10:00:00.078645682,K,303.59,1,304.09,1,R,6215456,0,,N,TSLA,
20190102,10:00:00.078654022,V,303.75,1,304.08,1,R,6215457,0,,N,TSLA,
20190102,10:00:00.078691954,V,303.79,1,304.08,1,R,6215459,0,,N,TSLA,
20190102,10:00:00.078759326,K,303.59,1,304.08,1,R,6215461,0,,N,TSLA,
20190102,10:00:00.087498814,P,303.75,2,304.23,1,R,6215521,0,,N,TSLA,
20190102,10:00:00.096262665,C,289.99,1,319.18,1,R,6215641,0,,N,TSLA,
20190102,10:00:00.096272898,C,303.78,1,319.18,1,R,6215642,0,,N,TSLA,
20190102,10:00:00.099113148,P,303.75,2,304.08,1,R,6215703,0,,N,TSLA,
20190102,10:00:00.099181319,K,303.59,1,304.07,1,R,6215707,0,,N,TSLA,
20190102,10:00:00.127931433,K,303.6,2,304.07,1,R,6216271,0,,N,TSLA,
20190102,10:00:00.127935871,Y,303.78,1,309.0,1,R,6216272,0,,N,TSLA,
20190102,10:00:00.128045937,J,292.86,2,305.95,1,R,6216274,0,,N,TSLA,
20190102,10:00:00.180607692,M,303.8,1,0.0,0,Y,6216993,2,,N,TSLA,
20190102,10:00:00.180617402,C,303.79,1,319.18,1,R,6216994,0,,N,TSLA,
20190102,10:00:00.180685125,Y,303.79,1,309.0,1,R,6216996,0,,N,TSLA,
20190102,10:00:00.180761369,V,303.79,1,307.0,1,R,6216997,0,,N,TSLA,
20190102,10:00:00.180776905,J,292.86,2,305.95,1,R,6216998,0,,N,TSLA,
20190102,10:00:00.181425435,P,303.75,2,304.08,1,R,6217027,0,,N,TSLA,
20190102,10:00:00.185856935,Z,303.79,2,304.17,1,R,6217077,0,,N,TSLA,
20190102,10:00:00.226091743,M,0.0,0,0.0,0,R,6217416,2,,N,TSLA,
20190102,10:00:00.226845994,P,303.75,2,304.08,1,R,6217426,0,,N,TSLA,
20190102,10:00:00.252767970,K,303.6,1,304.07,1,R,6217629,0,,N,TSLA,
20190102,10:00:00.391294710,Z,303.79,1,304.17,1,R,6219480,2,,N,TSLA,
20190102,10:00:00.413921075,C,303.79,1,304.05,1,R,6219711,2,,N,TSLA,
20190102,10:00:00.414051314,V,303.79,1,304.05,1,R,6219715,0,,N,TSLA,
20190102,10:00:00.415037640,C,303.79,1,319.18,1,R,6219730,2,,N,TSLA,
20190102,10:00:00.415049242,C,303.79,1,304.06,1,R,6219731,0,,N,TSLA,
20190102,10:00:00.428894889,C,303.79,1,304.05,1,R,6219779,0,,N,TSLA,
20190102,10:00:00.445186068,C,303.79,1,304.05,2,R,6220208,2,,N,TSLA,
20190102,10:00:00.445979439,V,303.79,1,304.05,2,R,6220227,0,,N,TSLA,
20190102,10:00:00.454004747,C,289.99,1,304.05,2,R,6220336,2,,N,TSLA,
